Gene ID	Gene_NAME	Transcript ID	STRAND
65328	A1BG	ENST00000263100.7	-1
395489	A1CF	ENST00000395489.6	-1
101493	A1CF_ENST00000282641	ENST00000282641.6	-1
373993	A1CF_ENST00000373993	ENST00000373993.5	-1
93479	A1CF_ENST00000373995	ENST00000373995.7	-1
373997	A1CF_ENST00000373997	ENST00000373997.7	-1
60479	A1CF_ENST00000374001	ENST00000374001.6	-1
395495	A1CF_ENST00000395495	ENST00000395495.5	-1
7202	A2M	ENST00000318602.11	-1
74805	A2ML1	ENST00000299698.11	1
539547	A2ML1_ENST00000539547	ENST00000539547.5	1
442999	A3GALT2	ENST00000442999.3	-1
401850	A4GALT	ENST00000401850.5	-1
66151	A4GALT_ENST00000249005	ENST00000249005.3	-1
381278	A4GALT_ENST00000381278	ENST00000381278.4	-1
642412	A4GALT_ENST00000642412	ENST00000642412.1	-1
56990	A4GNT	ENST00000236709.3	-1
61854	AAAS	ENST00000209873.8	-1
394384	AAAS_ENST00000394384	ENST00000394384.7	-1
550286	AAAS_ENST00000550286	ENST00000550286.5	-1
62197	AACS	ENST00000316519.10	1
68853	AADAC	ENST00000232892.11	1
57047	AADACL2	ENST00000356517.3	1
93900	AADACL3	ENST00000359318.7	1
66793	AADACL4	ENST00000376221.1	1
488869	AADAC_ENST00000488869	ENST00000488869.1	1
509167	AADAT	ENST00000509167.5	-1
57620	AADAT_ENST00000337664	ENST00000337664.8	-1
353187	AADAT_ENST00000353187	ENST00000353187.6	-1
515480	AADAT_ENST00000515480	ENST00000515480.5	-1
74931	AAGAB	ENST00000261880.9	-1
542650	AAGAB_ENST00000542650	ENST00000542650.5	-1
561452	AAGAB_ENST00000561452	ENST00000561452.5	-1
31	AAK1	ENST00000409085.8	-1
406297	AAK1_ENST00000406297	ENST00000406297.7	-1
409068	AAK1_ENST00000409068	ENST00000409068.5	-1
304716	AAMDC	ENST00000304716.12	1
393427	AAMDC_ENST00000393427	ENST00000393427.6	1
525034	AAMDC_ENST00000525034	ENST00000525034.1	1
525409	AAMDC_ENST00000525409	ENST00000525409.5	1
61335	AAMDC_ENST00000526415	ENST00000526415.5	1
527134	AAMDC_ENST00000527134	ENST00000527134.5	1
532481	AAMDC_ENST00000532481	ENST00000532481.5	1
533193	AAMDC_ENST00000533193	ENST00000533193.5	1
630098	AAMDC_ENST00000630098	ENST00000630098.2	1
444053	AAMP	ENST00000444053.5	-1
68574	AAMP_ENST00000248450	ENST00000248450.8	-1
420660	AAMP_ENST00000420660	ENST00000420660.5	-1
106015	AANAT	ENST00000250615.7	1
64283	AANAT_ENST00000392492	ENST00000392492.7	1
65554	AAR2	ENST00000373932.3	1
320849	AAR2_ENST00000320849	ENST00000320849.8	1
397286	AAR2_ENST00000397286	ENST00000397286.7	1
69490	AARD	ENST00000378279.3	1
67978	AARS	ENST00000261772.12	-1
69219	AARS2	ENST00000244571.4	-1
108186	AARSD1	ENST00000427569.6	-1
57346	AASDH	ENST00000205214.10	-1
67468	AASDHPPT	ENST00000278618.8	1
451613	AASDH_ENST00000451613	ENST00000451613.5	-1
104682	AASDH_ENST00000502617	ENST00000502617.1	-1
513376	AASDH_ENST00000513376	ENST00000513376.5	-1
602986	AASDH_ENST00000602986	ENST00000602986.5	-1
59285	AASS	ENST00000393376.5	-1
417368	AASS_ENST00000417368	ENST00000417368.6	-1
619387	AATF	ENST00000619387.4	1
32	AATK	ENST00000326724.8	-1
417379	AATK_ENST00000417379	ENST00000417379.5	-1
63254	ABAT	ENST00000396600.6	1
268251	ABAT_ENST00000268251	ENST00000268251.12	1
425191	ABAT_ENST00000425191	ENST00000425191.6	1
